idEsts,nombre,nom_comp,ceroIGN
29,Parana,Paraná,9.432
30,SantaFe,Santa Fe,8.378
2673,RioColastine,Rio Colastine RN N168,0
2356,TunelParana, Río Paraná Túnel,
1696,Martinez,Arroyo Martinez,0
1699,NPalmira,Nueva Palmira,0.0275
1710,Desembocadura,Desembocadura,0.327
1257,Borches,Arroyo Borches,0.682
1702,Braga,Braga,-0.337
52,SFernando,San Fernando,-0.53
1698,Carapachay,Carapachay,-1.459
51,ChanaMini,ChanaMini,-0.286
2830,GuazuBrazoLargo,GuazuBrazoLargo,0
1716,Ibicuy,Ibicuy,1.147
48,Guazucito,Guazucito,0.447
1700,Gualeguaychu,Gualeguaychu,0
79,Concordia,Concordia,0
